Player,P,Team,Age,,FANTASY VALUE,,PHF,NCAA,USports,NCAA DIII,SDHL
Haylea Schmid,F,MIN,31,,70,,0.42,0.24,,,
Mikyla Grant-Mentis,F,TOR,23,,105,,1.5,0.85,,,
Michela Cava,F,TOR,27,,90,,,0.64,,,1.6
Emma Woods,F,TOR,25,,85,,1,0.71,,,0.83
Shiann Darkangelo,F,TOR,27,,85,,0.8,0.71,,,
Brooke Boquist,F,TOR,25,,80,,1,0.65,,,1.2
Amy Curlew,F,TOR,23,,75,,0.67,0.5,,,
Annie MacDonald,F,TOR,23,,75,,,0.46,,,
Taylor Day,F,TOR,27,,70,,,,1.08,,
Maegan Beres,F,TOR,22,,70,,,0.29,,,
Tori Charron,F,TOR,29,,65,,,,,1.43,
Leah Marino,F,TOR,20,,65,,,0.11,,,
Lovisa Selander,G,BOS,25,,105,,GOALIE,,,,
Victoria Hanson,G,BOS,27,,80,,GOALIE,,,,
Katie Burt,G,BOS,24,,80,,GOALIE,,,,
Carly Jackson,G,BUF,24,,90,,GOALIE,,,,
Lovisa Berndtsson,G,BUF,32,,85,,GOALIE,,,,
Caty Flagg,G,BUF,23,,65,,GOALIE,,,,
Abbie Ives,G,CTW,23,,90,,GOALIE,,,,
Mariah Fujimagari,G,CTW,27,,75,,GOALIE,,,,
Sonjia Shelly,G,MET,24,,85,,GOALIE,,,,
Brooke Wolejko,G,MET,25,,75,,GOALIE,,,,
Amanda Leveille,G,MIN,27,,105,,GOALIE,,,,
Allie Morse,G,MIN,27,,70,,GOALIE,,,,
Elaine Chuli,G,TOR,27,,90,,GOALIE,,,,
Samantha Ridgewell,G,TOR,25,,75,,GOALIE,,,,
Tera Hofmann,G,TOR,23,,75,,GOALIE,,,,
Kati Tabin,D,CTW,24,,1001,,,0.37,,,
Colleen Murphy,D,MET,28,,1001,,0.21,0.36,,,
Rose Alleva,D,MET,29,,1001,,0.05,0.34,,,
Emma Stauber,D,MIN,28,,1001,,0.31,0.16,,,
Lisa Martinson,D,MIN,30,,1001,,0.43,0.13,,,
Meaghan Pezon,F,MIN,33,,1001,,0.65,0.69,,,
Jenna Brenneman,G,MIN,23,,1001,,GOALIE,,,,
Jessica Strack,G,CTW,23,,1001,,GOALIE,,,,
Kali Flanagan,D,BOS,26,,1001,,,0.46,,,
